id,recall,precision,f1_score
102071,0.0,0.0,0
102072,0.3333333333333333,0.5,0.4
102091,0.3333333333333333,0.5,0.4
102101,0.16666666666666666,1.0,0.2857142857142857
102111,0.0,0.0,0
102121,0.0,0.0,0
102122,1.0,0.3076923076923077,0.47058823529411764
102123,1.0,0.3076923076923077,0.47058823529411764
102171,0.5,1.0,0.6666666666666666
102172,0.5,1.0,0.6666666666666666
102173,1.0,1.0,1.0
102174,0.0,0.0,0
102191,0.25,1.0,0.4
112601,0.0,0.0,0
112621,1.0,0.3333333333333333,0.5
112641,0.0196078431372549,1.0,0.038461538461538464
112651,0.2,1.0,0.33333333333333337
112661,0.5,1.0,0.6666666666666666
112662,0.5,0.14285714285714285,0.22222222222222224
112681,0.2222222222222222,1.0,0.3636363636363636
112691,0.16666666666666666,1.0,0.2857142857142857
112692,0.2,0.25,0.22222222222222224
112701,0.25,0.3333333333333333,0.28571428571428575
112702,0.0,0.0,0
112703,0.5,0.5,0.5
112721,0.3333333333333333,1.0,0.5
112722,0.0,0.0,0
112723,0.3333333333333333,1.0,0.5
112724,0.3333333333333333,1.0,0.5
112725,0.0,0.0,0
112726,1.0,1.0,1.0
112727,0.0,0.0,0
112741,0.36363636363636365,1.0,0.5333333333333333
112742,0.0,0.0,0
116351,0.3333333333333333,1.0,0.5
116352,0.25,1.0,0.4
116353,0.25,1.0,0.4
117351,0.6666666666666666,1.0,0.8
117352,0.0,0.0,0
118071,0.0,0.0,0
118201,0.3333333333333333,0.5,0.4
118202,0.25,1.0,0.4
119621,0.0,0.0,0
119622,0.5,1.0,0.6666666666666666
119831,0.07692307692307693,1.0,0.14285714285714288
120641,0.5,1.0,0.6666666666666666
121521,0.0,0.0,0
121522,0.0,0.0,0
121523,0.5,0.5,0.5
121524,0.0,0.0,0
121525,0.0,0.0,0
122381,0.16666666666666666,1.0,0.2857142857142857
132341,0.0,0.0,0
132342,1.0,1.0,1.0
132343,1.0,1.0,1.0
132344,0.25,1.0,0.4
132345,0.0,0.0,0
132451,0.08333333333333333,1.0,0.15384615384615385
132452,1.0,1.0,1.0
132481,0.6666666666666666,0.2857142857142857,0.4
132482,0.3333333333333333,0.25,0.28571428571428575
132483,0.0,0.0,0
