id,recall,precision,f1_score
2001,0.14285714285714285,0.3333333333333333,0.2
2002,1.0,0.5,0.6666666666666666
2011,0.3333333333333333,1.0,0.5
2012,0.0,0.0,0
2021,0.0,0.0,0
2031,0.6666666666666666,0.6666666666666666,0.6666666666666666
2041,0.6666666666666666,1.0,0.8
2051,0.0,0.0,0
2053,0.25,1.0,0.4
2054,0.25,1.0,0.4
2061,0.0,0.0,0
2062,0.0,0.0,0
2063,0.2857142857142857,0.4,0.3333333333333333
2064,0.0,0.0,0
2065,1.0,0.4,0.5714285714285715
2081,0.0,0.0,0
2091,0.14285714285714285,1.0,0.25
2101,0.08,1.0,0.14814814814814814
2111,0.0,0.0,0
2112,1.0,0.6666666666666666,0.8
2121,0.045454545454545456,1.0,0.08695652173913045
2122,0.058823529411764705,1.0,0.1111111111111111
2131,0.8333333333333334,1.0,0.9090909090909091
2132,0.0,0.0,0
2133,0.0,0.0,0
2141,0.047619047619047616,1.0,0.0909090909090909
2151,0.4444444444444444,0.8,0.5714285714285714
2161,0.16666666666666666,1.0,0.2857142857142857
2162,1.0,0.6666666666666666,0.8
2171,0.6,1.0,0.7499999999999999
2172,0.6,1.0,0.7499999999999999
2181,0.0,0.0,0
2191,0.3333333333333333,0.16666666666666666,0.2222222222222222
2192,1.0,0.2,0.33333333333333337
2201,0.0,0.0,0
2211,0.0,0.0,0
2221,0.125,0.5,0.2
2222,0.25,1.0,0.4
2231,1.0,0.6666666666666666,0.8
2232,0.5,1.0,0.6666666666666666
2233,0.5,0.5,0.5
2234,0.0,0.0,0
2235,1.0,0.2857142857142857,0.4444444444444445
2241,0.5,0.4,0.4444444444444445
2242,0.2,1.0,0.33333333333333337
2243,1.0,1.0,1.0
2244,0.0,0.0,0
2251,0.0,0.0,0
2252,0.3333333333333333,1.0,0.5
2253,0.5,0.5,0.5
2261,1.0,0.6,0.7499999999999999
2271,0.09523809523809523,1.0,0.17391304347826084
2281,0.0,0.0,0
2282,0.0,0.0,0
2283,0.3333333333333333,1.0,0.5
2284,0.5,1.0,0.6666666666666666
2285,0.5,1.0,0.6666666666666666
2286,0.5,1.0,0.6666666666666666
2291,1.0,0.3333333333333333,0.5
2292,0.0,0.0,0
2301,0.011235955056179775,1.0,0.02222222222222222
2302,0.011363636363636364,1.0,0.02247191011235955
2311,0.047619047619047616,1.0,0.0909090909090909
2312,0.0,0.0,0
2321,0.6,0.75,0.6666666666666665
2322,0.0,0.0,0
2323,0.0,0.0,0
2331,0.0,0.0,0
2332,0.0,0.0,0
2341,0.0,0.0,0
2342,0.07692307692307693,0.5,0.13333333333333336
2343,0.0,0.0,0
2351,0.25,0.5,0.3333333333333333
2052,0.0,0.0,0
2236,1.0,1.0,1.0
