id,precision,recall,f1_score,llm_refactoring_count,oracle_count
100601,0.0,0.0,0,0,22
100681,0.0,0.0,0,1,42
100831,1.0,0.023255813953488372,0.04545454545454545,2,44
103411,0.5,0.25,0.3333333333333333,3,5
103412,0.0,0.0,0,1,5
103501,0.0,0.0,0,1,15
103861,0.5,0.3333333333333333,0.4,3,4
103871,0.5,0.3333333333333333,0.4,3,4
103872,0.0,0.0,0,6,4
113011,0.0,0.0,0,1,6
113012,0.0,0.0,0,1,5
114941,1.0,0.5555555555555556,0.7142857142857143,6,10
115671,1.0,0.75,0.8571428571428571,4,5
115691,1.0,0.28,0.43750000000000006,8,26
116371,1.0,0.2,0.33333333333333337,2,6
116372,1.0,0.2,0.33333333333333337,2,6
116373,1.0,0.5,0.6666666666666666,3,5
116374,1.0,0.25,0.4,2,5
116375,1.0,0.3333333333333333,0.5,2,4
117401,0.0,0.0,0,1,7
118261,0.0,0.0,0,1,9
118631,1.0,0.25,0.4,3,9
126781,1.0,0.07142857142857142,0.13333333333333333,2,15
127311,0.0,0.0,0,1,6
127651,1.0,0.2,0.33333333333333337,2,6
128102,0.0,0.0,0,1,13
128181,0.0,0.0,0,1,52
128183,0.0,0.0,0,1,4
128431,1.0,0.5,0.6666666666666666,4,7
128661,1.0,0.2,0.33333333333333337,2,6
128662,0.0,0.0,0,0,4
128721,1.0,0.4,0.5714285714285715,3,6
128911,1.0,0.16666666666666666,0.2857142857142857,2,7
132601,0.0,0.0,0,0,4
132691,0.0,0.0,0,1,7
132711,0.0,0.0,0,1,9
133261,0.0,0.0,0,0,9
133611,0.0,0.0,0,1,8
134711,0.0,0.0,0,1,4
134751,1.0,0.6666666666666666,0.8,3,4
135901,1.0,0.3333333333333333,0.5,2,4
135921,1.0,0.3333333333333333,0.5,2,4
135952,0.0,0.0,0,1,7
136521,0.25,0.16666666666666666,0.2,5,7
136631,0.0,0.0,0,1,8
137071,0.5,0.3333333333333333,0.4,3,4
137191,0.0,0.0,0,1,4
137341,1.0,0.5,0.6666666666666666,4,7
137851,1.0,0.25,0.4,3,9
137961,1.0,0.3333333333333333,0.5,2,4
137962,1.0,0.3333333333333333,0.5,2,4
137981,1.0,0.2857142857142857,0.4444444444444445,3,8
139071,1.0,0.3333333333333333,0.5,2,4
139072,1.0,0.4444444444444444,0.6153846153846153,5,10
140381,1.0,0.2,0.33333333333333337,3,11
141551,1.0,0.5,0.6666666666666666,3,5
142371,1.0,0.08695652173913043,0.16,3,24
142701,1.0,0.3333333333333333,0.5,3,7
143531,0.0,0.0,0,1,27
143761,0.0,0.0,0,1,5
