id,precision,recall,f1_score,llm_refactoring_count,oracle_count
104711,1.0,0.25,0.4,1,4
113151,0.38461538461538464,0.8333333333333334,0.5263157894736842,13,6
114721,0.0,0.0,0,0,8
114821,0.4444444444444444,1.0,0.6153846153846153,9,4
115271,1.0,0.2,0.33333333333333337,3,15
118521,1.0,0.2,0.33333333333333337,1,5
119751,1.0,0.4,0.5714285714285715,2,5
125461,1.0,0.05263157894736842,0.1,1,19
125462,1.0,0.25,0.4,2,8
125511,1.0,0.4,0.5714285714285715,2,5
125701,1.0,0.25,0.4,1,4
125731,1.0,0.25,0.4,1,4
125811,0.5714285714285714,1.0,0.7272727272727273,7,4
126101,0.0,0.0,0,2,4
133181,0.8,1.0,0.888888888888889,5,4
133182,0.8,1.0,0.888888888888889,5,4
134981,1.0,0.16666666666666666,0.2857142857142857,1,6
135221,0.0,0.0,0,0,6
140001,1.0,1.0,1.0,4,4
142991,1.0,0.1,0.18181818181818182,1,10
