id,precision,recall,f1_score,llm_refactoring_count,oracle_count
100601,0.0,0.0,0,0,22
100681,1.0,0.023809523809523808,0.046511627906976744,1,42
100831,1.0,0.045454545454545456,0.08695652173913045,2,44
103411,0.6666666666666666,0.4,0.5,3,5
103412,1.0,0.2,0.33333333333333337,1,5
103501,1.0,0.06666666666666667,0.125,1,15
103861,0.6666666666666666,0.5,0.5714285714285715,3,4
103871,0.6666666666666666,0.5,0.5714285714285715,3,4
103872,0.16666666666666666,0.25,0.2,6,4
113011,1.0,0.16666666666666666,0.2857142857142857,1,6
113012,1.0,0.2,0.33333333333333337,1,5
114941,1.0,0.6,0.7499999999999999,6,10
115671,1.0,0.8,0.888888888888889,4,5
115691,1.0,0.3076923076923077,0.47058823529411764,8,26
116371,1.0,0.3333333333333333,0.5,2,6
116372,1.0,0.3333333333333333,0.5,2,6
116373,1.0,0.6,0.7499999999999999,3,5
116374,1.0,0.4,0.5714285714285715,2,5
116375,1.0,0.5,0.6666666666666666,2,4
117401,1.0,0.14285714285714285,0.25,1,7
118261,1.0,0.1111111111111111,0.19999999999999998,1,9
118631,1.0,0.3333333333333333,0.5,3,9
126781,1.0,0.13333333333333333,0.23529411764705882,2,15
127311,1.0,0.16666666666666666,0.2857142857142857,1,6
127651,1.0,0.3333333333333333,0.5,2,6
128102,1.0,0.07692307692307693,0.14285714285714288,1,13
128181,1.0,0.019230769230769232,0.03773584905660378,1,52
128183,1.0,0.25,0.4,1,4
128431,1.0,0.5714285714285714,0.7272727272727273,4,7
128661,1.0,0.3333333333333333,0.5,2,6
128662,0.0,0.0,0,0,4
128721,1.0,0.5,0.6666666666666666,3,6
128911,1.0,0.2857142857142857,0.4444444444444445,2,7
132601,0.0,0.0,0,0,4
132691,1.0,0.14285714285714285,0.25,1,7
132711,1.0,0.1111111111111111,0.19999999999999998,1,9
133261,0.0,0.0,0,0,9
133611,1.0,0.125,0.2222222222222222,1,8
134711,1.0,0.25,0.4,1,4
134751,1.0,0.75,0.8571428571428571,3,4
135901,1.0,0.5,0.6666666666666666,2,4
135921,1.0,0.5,0.6666666666666666,2,4
135952,1.0,0.14285714285714285,0.25,1,7
136521,0.4,0.2857142857142857,0.3333333333333333,5,7
136631,1.0,0.125,0.2222222222222222,1,8
137071,0.6666666666666666,0.5,0.5714285714285715,3,4
137191,1.0,0.25,0.4,1,4
137341,1.0,0.5714285714285714,0.7272727272727273,4,7
137851,1.0,0.3333333333333333,0.5,3,9
137961,1.0,0.5,0.6666666666666666,2,4
137962,1.0,0.5,0.6666666666666666,2,4
137981,1.0,0.375,0.5454545454545454,3,8
139071,1.0,0.5,0.6666666666666666,2,4
139072,1.0,0.5,0.6666666666666666,5,10
140381,1.0,0.2727272727272727,0.42857142857142855,3,11
141551,1.0,0.6,0.7499999999999999,3,5
142371,1.0,0.125,0.2222222222222222,3,24
142701,1.0,0.42857142857142855,0.6,3,7
143531,1.0,0.037037037037037035,0.07142857142857142,1,27
143761,1.0,0.2,0.33333333333333337,1,5
